Report Name,URL,Franchise,Category,Search
Annual Franchise Performance,https://example.com/reports/annual-franchise-performance,JJV,Performance,franchise performance annual
Q1 Revenue Summary,https://example.com/reports/q1-revenue-summary,JJV,Finance,revenue summary q1
Customer Satisfaction by Franchise,https://example.com/reports/customer-sat-by-franchise,JJSV,Customer Service,customer satisfaction franchise
Franchise Risk Assessment,https://example.com/reports/franchise-risk,JJV,Risk,franchise risk assessment
Operational Efficiency Metrics,https://example.com/reports/operational-efficiency,JJSV,Operations,operational efficiency metrics
Sales Performance Dashboard,https://example.com/reports/sales-dashboard,JJVC,Sales,sales performance dashboard
Compliance & Governance Overview,https://example.com/reports/compliance-governance,JJVC,Compliance,compliance governance overview
Digital Transformation Roadmap,https://example.com/reports/digital-transformation,JJV,Technology,digital transformation roadmap
Franchise Growth Stats,https://example.com/reports/franchise-growth,JJSV,Growth,franchise growth stats
Customer Retention Analysis,https://example.com/reports/customer-retention,JJV,Customer,customer retention analysis
Inventory Optimization Report,https://example.com/reports/inventory-optimization,JJSV,Logistics,inventory optimization
Brand Compliance Report,https://example.com/reports/brand-compliance,JJVC,Brand,brand compliance report
Supply Chain Resilience,https://example.com/reports/supply-chain,JJV,Supply Chain,supply chain resilience
Training Effectiveness Summary,https://example.com/reports/training-effectiveness,JJV,HR,training effectiveness
IT Incident Postmortem,https://example.com/reports/it-postmortem,JJVC,IT,IT incident postmortem
ESG Highlights Report,https://example.com/reports/esg-highlights,JJSV,Sustainability,ESG highlights
Regional Performance North,https://example.com/reports/regional-north,JJSV,Performance,regional performance north
Audit Findings Overview,https://example.com/reports/audit-findings,JJVC,Audit,audit findings overview
Marketing Spend Analysis,https://example.com/reports/marketing-spend,JJV,Marketing,marketing spend analysis